GamePk,GameDate,GameTime,PlayerId,FullName,LastName,BatterStand,Side,Team,Opponent,BattingPosition,PlateAppearances,AtBats,Hits,Bases,Strikeouts,Walks,Singles,Doubles,Triples,HomeRuns,RBIs,Runs,StolenBaseAttempts,StolenBaseSuccesses,PointsDK,PointsFD,HomeRunProbability,HitProbability,StolenBaseProbability
823154,2026-04-12,4:10,670623,Isaac Paredes,Paredes,R,A,HOU,SEA,5,4.123,3.695,0.827,1.412,0.811,0.341,0.513,0.176,0.005,0.133,0.438,0.432,0.019,0.013,6.279,8.256,0.127,0.592,0.013
823154,2026-04-12,4:10,673237,Yainer Diaz,Diaz,R,A,HOU,SEA,9,3.735,3.517,0.929,1.513,0.602,0.126,0.608,0.186,0.006,0.129,0.405,0.41,0.017,0.012,6.034,7.722,0.123,0.64,0.012
823154,2026-04-12,4:10,677594,Julio Rodriguez,Rodriguez,R,H,SEA,HOU,3,4.311,3.798,0.925,1.552,1.047,0.411,0.6,0.165,0.018,0.142,0.554,0.477,0.177,0.141,7.778,10.201,0.131,0.635,0.129
823154,2026-04-12,4:10,680977,Brendan Donovan,Donovan,L,H,SEA,HOU,1,4.554,3.882,1.044,1.584,0.639,0.565,0.727,0.196,0.018,0.103,0.428,0.634,0.041,0.035,7.762,10.185,0.099,0.687,0.034
823154,2026-04-12,4:10,686527,Dominic Canzone,Canzone,L,H,SEA,HOU,7,3.894,3.488,0.739,1.204,0.979,0.321,0.486,0.146,0.0,0.106,0.41,0.407,0.044,0.036,5.713,7.534,0.103,0.548,0.035
823154,2026-04-12,4:10,694388,Joey Loperfido,Loperfido,L,A,HOU,SEA,8,3.815,3.513,0.65,1.024,1.278,0.226,0.434,0.132,0.009,0.075,0.298,0.312,0.05,0.04,4.654,6.032,0.073,0.494,0.039
823154,2026-04-12,4:10,701358,Cam Smith,Smith,R,A,HOU,SEA,7,3.803,3.429,0.664,1.156,1.169,0.301,0.415,0.12,0.014,0.114,0.368,0.344,0.083,0.067,5.464,7.16,0.109,0.495,0.065
823154,2026-04-12,4:10,702284,Cole Young,Young,L,H,SEA,HOU,9,3.695,3.081,0.626,1.039,0.798,0.542,0.411,0.111,0.008,0.095,0.391,0.439,0.025,0.021,5.655,7.64,0.093,0.489,0.02
823317,2026-04-12,4:10,592518,Manny Machado,Machado,R,H,SD ,COL,4,4.25,3.743,1.02,1.71,0.862,0.412,0.673,0.172,0.007,0.168,0.61,0.568,0.083,0.069,8.14,10.734,0.157,0.688,0.067
823317,2026-04-12,4:10,593428,Xander Bogaerts,Bogaerts,R,H,SD ,COL,6,3.966,3.55,0.902,1.34,0.547,0.328,0.658,0.143,0.008,0.093,0.449,0.442,0.117,0.095,6.597,8.561,0.089,0.622,0.092
823317,2026-04-12,4:10,609280,Miguel Andujar,Andujar,R,H,SD ,COL,5,4.055,3.717,1.029,1.436,0.589,0.233,0.783,0.16,0.011,0.075,0.447,0.457,0.044,0.034,6.431,8.237,0.074,0.681,0.032
823317,2026-04-12,4:10,630105,Jake Cronenworth,Cronenworth,L,H,SD ,COL,8,3.687,3.171,0.792,1.191,0.731,0.429,0.571,0.12,0.021,0.079,0.393,0.432,0.033,0.025,5.908,7.769,0.077,0.581,0.025
823317,2026-04-12,4:10,650489,Willi Castro,Castro,S,A,COL,SD ,7,3.809,3.409,0.601,0.977,1.32,0.322,0.413,0.087,0.016,0.086,0.266,0.285,0.113,0.094,4.875,6.306,0.079,0.458,0.089
823317,2026-04-12,4:10,657656,Ramon Laureano,Laureano,R,H,SD ,COL,1,4.51,4.045,1.021,1.705,0.988,0.373,0.676,0.172,0.008,0.166,0.496,0.62,0.179,0.149,8.326,10.847,0.154,0.677,0.141
823317,2026-04-12,4:10,664034,Ty France,France,R,H,SD ,COL,7,3.914,3.534,0.953,1.423,0.621,0.3,0.695,0.149,0.006,0.103,0.473,0.459,0.024,0.018,6.465,8.406,0.099,0.652,0.018
823317,2026-04-12,4:10,665487,Fernando Tatis Jr.,Tatis Jr.,R,H,SD ,COL,2,4.355,3.788,0.941,1.578,0.958,0.476,0.623,0.155,0.009,0.154,0.494,0.606,0.293,0.222,8.525,11.164,0.143,0.654,0.201
823317,2026-04-12,4:10,666160,Mickey Moniak,Moniak,L,A,COL,SD ,2,4.261,3.962,0.729,1.33,1.303,0.202,0.456,0.098,0.023,0.152,0.391,0.365,0.096,0.083,5.892,7.625,0.142,0.521,0.08
823317,2026-04-12,4:10,666397,Edouard Julien,Julien,L,A,COL,SD ,1,4.222,3.62,0.691,1.145,1.453,0.513,0.47,0.102,0.006,0.114,0.288,0.384,0.061,0.049,5.718,7.508,0.109,0.509,0.048
823317,2026-04-12,4:10,669134,Luis Campusano,Campusano,R,H,SD ,COL,9,3.422,3.098,0.724,1.095,0.643,0.238,0.519,0.123,0.0,0.082,0.385,0.37,0.006,0.004,5.003,6.555,0.079,0.543,0.004
823317,2026-04-12,4:10,678662,Ezequiel Tovar,Tovar,R,A,COL,SD ,5,4.165,3.845,0.751,1.314,1.303,0.228,0.477,0.121,0.014,0.138,0.372,0.336,0.061,0.052,5.664,7.317,0.132,0.551,0.051
823317,2026-04-12,4:10,681198,TJ Rumfield,Rumfield,L,A,COL,SD ,4,4.101,3.678,0.612,0.958,1.214,0.337,0.416,0.119,0.006,0.072,0.267,0.279,0.041,0.031,4.527,5.898,0.068,0.471,0.03
823317,2026-04-12,4:10,686668,Brenton Doyle,Doyle,R,A,COL,SD ,8,3.704,3.371,0.61,0.964,1.231,0.25,0.422,0.1,0.009,0.079,0.262,0.277,0.164,0.138,4.896,6.277,0.077,0.466,0.13
823317,2026-04-12,4:10,687859,Troy Johnston,Johnston,L,A,COL,SD ,6,3.689,3.359,0.575,0.931,1.101,0.249,0.391,0.096,0.006,0.083,0.247,0.258,0.079,0.06,4.332,5.588,0.08,0.459,0.058
